Code,Name,Year,Sector,Emissions_kt,Population_000s,PerCapita_Emissions_t
E09000001,City of London,2012,Industry and Commercial,1460.949321422889,7.604,201.57666373092144
E09000001,City of London,2012,Transport,51.3104088288955,7.604,201.57666373092144
E09000001,City of London,2013,Domestic,19.895839289936667,7.648,184.88884965708237
E09000001,City of London,2013,Grand total,1414.029922177366,7.648,184.88884965708237
E09000001,City of London,2013,Industry and Commercial,1343.6783269663429,7.648,184.88884965708237
E09000001,City of London,2013,Transport,50.45575592108687,7.648,184.88884965708237
E09000001,City of London,2014,Domestic,16.507567702151707,8.072,128.2856945355924
E09000001,City of London,2014,Grand total,1035.5221262913017,8.072,128.2856945355924
E09000001,City of London,2014,Industry and Commercial,964.0794320128219,8.072,128.2856945355924
E09000001,City of London,2014,Transport,54.93512657632811,8.072,128.2856945355924
E09000002,Barking and Dagenham,2005,Domestic,345.88936273787004,166.275,5.230976493446822
E09000002,Barking and Dagenham,2005,Grand total,869.7806164478704,166.275,5.230976493446822
E09000002,Barking and Dagenham,2005,Industry and Commercial,345.82925418014247,166.275,5.230976493446822
E09000002,Barking and Dagenham,2005,Transport,178.06199952985796,166.275,5.230976493446822
E09000002,Barking and Dagenham,2006,Domestic,344.5517340713079,167.157,5.237503629874516
E09000002,Barking and Dagenham,2006,Grand total,875.4853942589345,167.157,5.237503629874516
E09000002,Barking and Dagenham,2006,Industry and Commercial,348.09896467437835,167.157,5.237503629874516
E09000002,Barking and Dagenham,2006,Transport,182.8346955132483,167.157,5.237503629874516
E09000002,Barking and Dagenham,2007,Domestic,334.3577088293736,169.031,5.091100350340513
E09000002,Barking and Dagenham,2007,Grand total,860.5537833184073,169.031,5.091100350340513
E09000002,Barking and Dagenham,2007,Industry and Commercial,346.8082259828131,169.031,5.091100350340513
E09000002,Barking and Dagenham,2007,Transport,179.3878485062205,169.031,5.091100350340513
E09000002,Barking and Dagenham,2008,Domestic,332.5242696464728,172.452,4.865086951406437
E09000002,Barking and Dagenham,2008,Grand total,838.9939749439429,172.452,4.865086951406437
E09000002,Barking and Dagenham,2008,Industry and Commercial,345.3412592167237,172.452,4.865086951406437
E09000002,Barking and Dagenham,2008,Transport,161.1284460807463,172.452,4.865086951406437
E09000002,Barking and Dagenham,2009,Domestic,297.24941149948745,177.58,4.293146816466019
E09000002,Barking and Dagenham,2009,Grand total,762.3770116680357,177.58,4.293146816466019
E09000002,Barking and Dagenham,2009,Industry and Commercial,299.65034965068367,177.58,4.293146816466019
E09000002,Barking and Dagenham,2009,Transport,165.47725051786446,177.58,4.293146816466019
E09000002,Barking and Dagenham,2010,Domestic,321.4233195057831,182.838,4.414671637334457
E09000002,Barking and Dagenham,2010,Grand total,807.1697328269574,182.838,4.414671637334457
E09000002,Barking and Dagenham,2010,Industry and Commercial,325.7881502264271,182.838,4.414671637334457
E09000002,Barking and Dagenham,2010,Transport,159.9582630947471,182.838,4.414671637334457
E09000002,Barking and Dagenham,2011,Domestic,282.1581904743095,187.029,3.916176425340907
E09000002,Barking and Dagenham,2011,Grand total,732.4385606550845,187.029,3.916176425340907
E09000002,Barking and Dagenham,2011,Industry and Commercial,289.9112782071418,187.029,3.916176425340907
E09000002,Barking and Dagenham,2011,Transport,160.3690919736334,187.029,3.916176425340907
E09000002,Barking and Dagenham,2012,Domestic,300.84587607687564,190.56,4.002633805981072
E09000002,Barking and Dagenham,2012,Grand total,762.7418980677531,190.56,4.002633805981072
E09000002,Barking and Dagenham,2012,Industry and Commercial,308.2012542297479,190.56,4.002633805981072
E09000002,Barking and Dagenham,2012,Transport,153.6947677611296,190.56,4.002633805981072
E09000002,Barking and Dagenham,2013,Domestic,290.7797345381414,194.352,3.750160198720497
E09000002,Barking and Dagenham,2013,Grand total,728.8511349417261,194.352,3.750160198720497
E09000002,Barking and Dagenham,2013,Industry and Commercial,282.78735462095176,194.352,3.750160198720497
E09000002,Barking and Dagenham,2013,Transport,155.28404578263294,194.352,3.750160198720497
E09000002,Barking and Dagenham,2014,Domestic,242.87525605434956,198.294,3.0486027723567912
